TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,is_large_transaction,log_transaction_amount,transaction_hour,transaction_day_of_week,odd_hour_transaction,user_transaction_count,user_avg_transaction_amount,deviation_from_user_avg,user_primary_location,is_unusual_location
TX000012,AC00459,190.02,2023-02-06 17:30:00,Debit,Memphis,D000589,116.175.11.222,M030,Online,21,Student,173,1,1528.81,04/11/2024 08:07,0,5.252378134606592,17,0,0,7,216.2242857142857,-26.204285714285703,Phoenix,1
TX000013,AC00392,494.52,2023-06-07 17:21:00,Credit,Mesa,D000032,210.98.198.143,M057,Branch,24,Student,111,1,1620.02,04/11/2024 08:08,0,6.205607716224892,17,2,0,3,288.1133333333333,206.4066666666667,Columbus,1
TX000014,AC00264,781.76,2023-11-20 16:39:00,Debit,Memphis,D000054,193.83.0.183,M025,ATM,26,Student,123,1,189.69,04/11/2024 08:07,0,6.662826135596005,16,0,0,5,407.284,374.476,Albuquerque,1
TX000015,AC00085,166.99,2023-02-13 16:53:00,Debit,Louisville,D000309,188.124.181.12,M017,Online,18,Student,134,1,299.93,04/11/2024 08:10,0,5.123904453822123,16,0,0,6,282.61833333333334,-115.62833333333333,Boston,1
TX000016,AC00270,465.45,2023-12-12 16:23:00,Debit,Denver,D000466,221.169.49.152,M025,ATM,36,Engineer,129,1,3465.54,04/11/2024 08:12,0,6.14515083340697,16,1,0,2,336.145,129.305,Denver,0
TX000017,AC00317,555.8,2023-10-30 16:52:00,Credit,Austin,D000671,53.218.177.171,M048,Branch,19,Student,158,1,1131.26,04/11/2024 08:07,0,6.32220610902021,16,0,0,6,503.1783333333333,52.62166666666667,Austin,0
TX000018,AC00359,492.93,2023-12-14 18:32:00,Debit,Columbus,D000432,114.223.129.47,M059,Online,39,Engineer,234,1,5109.97,04/11/2024 08:11,0,6.202393806742613,18,3,0,6,346.53833333333336,146.39166666666665,Los Angeles,1
TX000019,AC00242,18.68,2023-02-21 16:56:00,Credit,Albuquerque,D000530,93.218.115.132,M054,Branch,59,Retired,106,1,7948.37,04/11/2024 08:12,0,2.9796028916241073,16,1,0,9,145.5211111111111,-126.8411111111111,Albuquerque,0
TX000020,AC00285,71.48,2023-06-08 18:18:00,Credit,Columbus,D000039,120.170.93.69,M039,Online,18,Student,169,1,6568.59,04/11/2024 08:09,0,4.283310661734724,18,3,0,6,269.15333333333336,-197.67333333333335,Colorado Springs,1
TX000021,AC00002,59.32,2023-02-28 16:36:00,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,71,Retired,38,1,5750.89,04/11/2024 08:09,0,4.099663723699701,16,1,0,7,293.7442857142857,-234.4242857142857,Charlotte,1
TX000022,AC00014,85.77,2023-08-11 18:31:00,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,38,Doctor,93,1,9146.19,04/11/2024 08:08,0,4.463260939805398,18,4,0,9,348.25333333333333,-262.48333333333335,Atlanta,1
TX000023,AC00095,52.2,2023-06-06 18:54:00,Debit,Atlanta,D000142,133.63.96.21,M022,Online,39,Engineer,120,1,8974.93,04/11/2024 08:07,0,3.9740583963475986,18,1,0,7,249.97857142857143,-197.7785714285714,Atlanta,0
TX000025,AC00241,145.54,2023-03-02 16:43:00,Debit,Raleigh,D000036,119.186.154.104,M028,Online,21,Student,96,1,1930.96,04/11/2024 08:07,0,4.987298428731818,16,3,0,8,203.75625000000002,-58.21625000000003,Boston,1
TX000026,AC00041,7.49,2023-10-20 17:53:00,Credit,Houston,D000671,81.248.235.147,M043,Online,65,Retired,276,1,3634.67,04/11/2024 08:09,0,2.138889000323256,17,4,0,7,164.24,-156.75,Baltimore,1
TX000028,AC00057,40.32,2023-03-29 16:42:00,Debit,Milwaukee,D000310,21.28.32.1,M008,Branch,37,Engineer,95,1,2686.52,04/11/2024 08:11,0,3.7213466442514376,16,2,0,5,225.52399999999997,-185.20399999999998,Albuquerque,1
TX000029,AC00390,127.45,2023-01-24 16:18:00,Debit,Las Vegas,D000232,152.234.65.155,M092,Online,44,Doctor,197,1,1772.06,04/11/2024 08:11,0,4.855539723555893,16,1,0,7,161.08142857142857,-33.63142857142857,Charlotte,1
TX000030,AC00313,56.17,2023-09-20 16:55:00,Debit,Detroit,D000297,33.28.138.82,M043,Branch,27,Student,283,1,1351.69,04/11/2024 08:08,0,4.04602928527588,16,2,0,3,247.89999999999998,-191.72999999999996,Columbus,1
TX000031,AC00367,28.31,2023-07-17 17:49:00,Credit,Miami,D000587,35.67.21.23,M091,Online,59,Doctor,20,1,8334.47,04/11/2024 08:09,0,3.377928754722801,17,0,0,7,233.61428571428573,-205.30428571428573,Baltimore,1
TX000032,AC00291,59.12,2023-02-06 16:24:00,Debit,Baltimore,D000282,187.199.178.27,M053,ATM,29,Doctor,257,1,9823.64,04/11/2024 08:06,0,4.0963425648847736,16,0,0,7,404.0185714285714,-344.8985714285714,Albuquerque,1
TX000034,AC00359,877.81,2023-03-13 17:23:00,Debit,Los Angeles,D000111,134.140.85.231,M094,Online,22,Student,150,1,399.0,04/11/2024 08:07,1,6.778568719599104,17,0,0,6,346.53833333333336,531.2716666666665,Los Angeles,0
TX000035,AC00365,255.26,2023-10-27 16:42:00,Credit,San Francisco,D000357,92.214.76.157,M002,Branch,45,Doctor,50,1,14815.87,04/11/2024 08:10,0,5.54619255408143,16,4,0,5,197.974,57.286,Austin,1
TX000036,AC00267,124.76,2023-10-16 16:32:00,Debit,Seattle,D000042,59.145.242.13,M002,Branch,49,Engineer,45,1,5764.72,04/11/2024 08:06,0,4.834375328680896,16,0,0,10,200.31099999999998,-75.55099999999997,Austin,1
TX000037,AC00404,78.13,2023-11-21 16:58:00,Debit,Milwaukee,D000250,33.28.138.82,M028,Branch,26,Student,145,1,900.61,04/11/2024 08:12,0,4.371092069621102,16,1,0,4,87.4125,-9.282499999999999,Baltimore,1
TX000038,AC00202,649.28,2023-03-02 17:53:00,Debit,San Jose,D000448,73.108.76.238,M074,ATM,75,Retired,137,1,4875.86,04/11/2024 08:11,0,6.477403039366023,17,3,0,12,310.1766666666667,339.1033333333333,Nashville,1
TX000039,AC00478,795.31,2023-10-12 17:07:00,Debit,Mesa,D000077,49.29.37.185,M048,ATM,66,Doctor,90,2,7914.88,04/11/2024 08:11,0,6.6799885572656725,17,3,0,7,435.1857142857143,360.12428571428563,Baltimore,1
TX000040,AC00405,335.63,2023-01-24 17:17:00,Debit,Oklahoma City,D000038,49.20.211.229,M040,Online,55,Retired,216,1,1019.39,04/11/2024 08:07,0,5.818984404344884,17,1,0,6,427.675,-92.04500000000002,Columbus,1
TX000041,AC00421,328.47,2023-07-31 18:39:00,Debit,San Antonio,D000557,6.234.101.35,M014,ATM,63,Retired,119,1,4323.66,04/11/2024 08:07,0,5.797485302756558,18,0,0,3,221.37333333333333,107.09666666666669,San Antonio,0
TX000042,AC00480,34.02,2023-01-09 16:13:00,Debit,Philadelphia,D000627,109.105.179.186,M046,Online,38,Doctor,19,1,14214.48,04/11/2024 08:11,0,3.555919326857706,16,0,0,11,300.8636363636364,-266.8436363636364,Boston,1
TX000043,AC00120,241.42,2023-04-20 18:57:00,Credit,Charlotte,D000198,60.89.202.192,M044,Online,57,Doctor,116,1,13357.02,04/11/2024 08:09,0,5.490671759042366,18,3,0,6,290.7633333333333,-49.343333333333334,Charlotte,0
TX000044,AC00117,55.32,2023-04-12 16:03:00,Debit,Tucson,D000197,173.135.78.201,M009,ATM,19,Student,117,1,241.79,04/11/2024 08:08,0,4.0310497118497866,16,2,0,1,55.32,0.0,Tucson,0
TX000045,AC00011,304.31,2023-07-26 16:52:00,Debit,Louisville,D000685,77.208.193.198,M005,Branch,27,Student,33,1,868.61,04/11/2024 08:09,0,5.72132765387195,16,2,0,6,284.1616666666667,20.148333333333312,Kansas City,1
TX000046,AC00401,435.27,2023-10-04 17:49:00,Debit,Chicago,D000297,197.162.55.147,M051,Branch,74,Retired,90,1,4673.28,04/11/2024 08:11,0,6.078261317737981,17,2,0,6,276.9216666666667,158.3483333333333,Albuquerque,1
TX000047,AC00282,164.49,2023-12-13 16:01:00,Debit,Baltimore,D000103,113.115.81.178,M070,Branch,26,Student,75,1,1509.27,04/11/2024 08:10,0,5.108910770030852,16,2,0,5,301.034,-136.54399999999998,Austin,1
TX000048,AC00439,510.24,2023-10-09 16:29:00,Debit,Oklahoma City,D000397,186.135.2.148,M090,Online,19,Student,105,1,781.7,04/11/2024 08:11,0,6.236839147263514,16,0,0,8,472.85,37.389999999999986,Washington,1
TX000049,AC00296,626.9,2023-11-27 16:45:00,Debit,Denver,D000284,93.146.251.20,M023,Online,26,Student,138,1,265.51,04/11/2024 08:07,0,6.4423809181200635,16,0,0,4,389.09749999999997,237.8025,Dallas,1
TX000050,AC00471,22.01,2023-03-27 16:45:00,Credit,Sacramento,D000304,124.6.134.78,M055,Online,41,Engineer,175,1,1335.09,04/11/2024 08:06,0,3.1359289040472746,16,0,0,6,294.90833333333336,-272.89833333333337,Sacramento,0
TX000051,AC00159,425.34,2023-02-13 16:59:00,Credit,Kansas City,D000661,139.23.212.102,M040,Online,69,Retired,121,1,3907.54,04/11/2024 08:07,0,6.055237150005048,16,0,0,5,204.82799999999997,220.512,Kansas City,0
TX000052,AC00482,424.56,2023-02-21 17:45:00,Debit,Omaha,D000598,179.43.245.131,M015,Online,51,Engineer,264,1,5183.85,04/11/2024 08:09,0,6.053405948648165,17,1,0,6,265.6716666666667,158.88833333333332,Colorado Springs,1
TX000053,AC00115,85.43,2023-06-07 16:45:00,Debit,Virginia Beach,D000235,194.174.252.1,M078,Branch,67,Doctor,145,1,14904.9,04/11/2024 08:06,0,4.459334837764547,16,2,0,3,250.6966666666667,-165.26666666666668,Boston,1
TX000054,AC00055,169.5,2023-09-07 16:51:00,Debit,San Diego,D000442,42.219.228.159,M036,Branch,28,Student,142,1,918.88,04/11/2024 08:08,0,5.1387352967235715,16,3,0,5,188.22199999999998,-18.72199999999998,Columbus,1
TX000055,AC00419,104.63,2023-03-29 17:47:00,Debit,Omaha,D000642,186.135.2.148,M095,ATM,62,Retired,90,1,4477.78,04/11/2024 08:10,0,4.659942421835071,17,2,0,3,280.6066666666666,-175.97666666666663,Charlotte,1
TX000056,AC00374,316.95,2023-08-04 17:53:00,Debit,Mesa,D000013,81.102.230.41,M052,Branch,25,Student,83,1,1324.03,04/11/2024 08:09,0,5.7618941377134165,17,4,0,6,222.90833333333333,94.04166666666666,Mesa,0
TX000057,AC00271,60.54,2023-12-14 17:52:00,Credit,Columbus,D000462,1.198.76.182,M095,Branch,57,Retired,52,1,3534.93,04/11/2024 08:09,0,4.119687369893896,17,3,0,5,142.30599999999998,-81.76599999999999,Columbus,0
TX000058,AC00456,292.56,2023-03-03 17:37:00,Credit,Dallas,D000311,198.73.211.114,M075,Branch,68,Retired,61,1,4638.37,04/11/2024 08:07,0,5.682082047676862,17,4,0,9,326.6355555555556,-34.07555555555558,San Jose,1
TX000059,AC00143,386.52,2023-06-09 16:18:00,Debit,Indianapolis,D000145,186.54.68.246,M064,Branch,48,Engineer,28,1,5630.61,04/11/2024 08:07,0,5.959767460364727,16,4,0,5,275.756,110.76400000000001,Atlanta,1
TX000060,AC00427,112.07,2023-10-02 16:35:00,Debit,Kansas City,D000089,198.166.198.233,M064,Branch,23,Student,51,1,930.3,04/11/2024 08:11,0,4.728007095947154,16,0,0,9,266.39444444444445,-154.32444444444445,Boston,1
TX000061,AC00438,568.52,2023-10-06 18:44:00,Debit,Indianapolis,D000233,27.143.109.203,M094,ATM,46,Engineer,152,1,5499.91,04/11/2024 08:06,0,6.344793900795618,18,4,0,7,172.0957142857143,396.4242857142857,Indianapolis,0
TX000062,AC00002,263.99,2023-05-16 16:07:00,Debit,Dallas,D000285,7.146.35.122,M087,Branch,79,Retired,227,2,4175.02,04/11/2024 08:11,0,5.5796920894251505,16,1,0,7,293.7442857142857,-29.754285714285686,Charlotte,1
TX000063,AC00425,349.64,2023-11-07 16:48:00,Debit,Las Vegas,D000516,9.230.41.239,M097,Online,48,Engineer,226,1,6651.62,04/11/2024 08:08,0,5.859760056110554,16,1,0,7,355.30571428571426,-5.665714285714273,Denver,1
TX000064,AC00325,601.4,2023-05-30 17:43:00,Credit,Philadelphia,D000548,125.225.212.244,M001,Branch,56,Engineer,104,1,8458.29,04/11/2024 08:08,0,6.400921676485684,17,1,0,4,313.6625,287.73749999999995,Philadelphia,0
TX000065,AC00434,5.77,2023-11-02 16:01:00,Debit,Charlotte,D000461,155.164.18.235,M071,Online,50,Doctor,124,1,13988.12,04/11/2024 08:11,0,1.9125010869241836,16,3,0,7,257.0142857142857,-251.24428571428567,Los Angeles,1
TX000066,AC00242,201.33,2023-03-29 17:00:00,Credit,Nashville,D000098,145.246.171.225,M003,Branch,42,Engineer,186,1,2585.07,04/11/2024 08:11,0,5.3099000277911035,17,2,0,9,145.5211111111111,55.8088888888889,Albuquerque,1
TX000067,AC00319,298.42,2023-04-25 16:11:00,Debit,Indianapolis,D000435,92.214.76.157,M005,Branch,56,Retired,225,1,3014.75,04/11/2024 08:10,0,5.70184727002169,16,1,0,5,333.68600000000004,-35.26600000000002,Indianapolis,0
TX000068,AC00460,521.06,2023-04-18 18:40:00,Debit,Albuquerque,D000305,131.41.45.13,M063,Branch,25,Student,128,1,1951.42,04/11/2024 08:12,0,6.257782523805988,18,1,0,10,347.849,173.21099999999996,Albuquerque,0
TX000069,AC00461,117.28,2023-02-09 16:34:00,Credit,Austin,D000128,46.150.175.171,M057,Online,60,Engineer,16,1,3665.77,04/11/2024 08:07,0,4.7730546949842765,16,3,0,3,167.73333333333332,-50.45333333333332,Nashville,1
TX000070,AC00395,189.12,2023-11-13 16:42:00,Credit,Indianapolis,D000684,125.89.163.224,M040,Branch,32,Engineer,103,1,977.01,04/11/2024 08:08,0,5.247655451745809,16,0,0,3,317.4166666666667,-128.29666666666668,Fresno,1
TX000071,AC00217,133.55,2023-07-18 16:12:00,Debit,Atlanta,D000201,40.226.196.34,M091,ATM,44,Engineer,220,1,3846.28,04/11/2024 08:10,0,4.901935877172915,16,1,0,6,232.59666666666666,-99.04666666666665,Atlanta,0
TX000072,AC00053,143.21,2023-01-13 17:00:00,Debit,Dallas,D000410,65.164.3.100,M066,Online,35,Engineer,135,1,6374.82,04/11/2024 08:09,0,4.971270570573979,17,4,0,7,100.47285714285715,42.73714285714286,Nashville,1
TX000073,AC00282,24.77,2023-07-04 18:20:00,Debit,Boston,D000180,9.230.41.239,M070,ATM,62,Retired,55,1,5866.01,04/11/2024 08:12,0,3.2492110246642736,18,1,0,5,301.034,-276.264,Austin,1
TX000074,AC00110,233.92,2023-10-20 16:54:00,Credit,Jacksonville,D000295,152.140.239.181,M046,Online,26,Student,280,1,6537.62,04/11/2024 08:08,0,5.459245030654318,16,4,0,7,179.54714285714286,54.37285714285713,Chicago,1
TX000076,AC00239,232.12,2023-12-28 17:31:00,Debit,Omaha,D000073,156.173.170.140,M066,ATM,37,Engineer,51,1,6689.87,04/11/2024 08:09,0,5.4515533424468945,17,3,0,5,207.22799999999998,24.892000000000024,Baltimore,1
TX000077,AC00007,162.63,2023-06-12 17:53:00,Debit,Kansas City,D000070,60.153.124.80,M060,Online,22,Student,113,1,634.17,04/11/2024 08:08,0,5.0976077814408045,17,0,0,5,299.07599999999996,-136.44599999999997,Colorado Springs,1
TX000078,AC00022,91.53,2023-03-13 16:32:00,Debit,Milwaukee,D000363,94.37.250.128,M095,Branch,44,Doctor,69,1,14676.05,04/11/2024 08:11,0,4.527532916260939,16,0,0,4,193.92000000000002,-102.39000000000001,Milwaukee,0
TX000079,AC00464,120.29,2023-12-18 18:46:00,Debit,Miami,D000561,162.198.218.92,M045,Branch,19,Student,77,1,1362.39,04/11/2024 08:06,0,4.798184372320789,18,0,0,7,181.55285714285714,-61.26285714285713,San Jose,1
TX000080,AC00014,174.25,2023-07-17 18:54:00,Debit,Seattle,D000375,130.92.201.49,M032,Online,50,Doctor,67,1,10528.34,04/11/2024 08:10,0,5.166213525914699,18,0,0,9,348.25333333333333,-174.00333333333333,Atlanta,1
TX000081,AC00406,183.71,2023-06-19 18:22:00,Debit,Denver,D000488,86.103.2.29,M074,ATM,38,Engineer,102,1,552.52,04/11/2024 08:09,0,5.218787027591229,18,0,0,1,183.71,0.0,Denver,0
TX000082,AC00445,345.39,2023-10-23 17:13:00,Credit,Phoenix,D000097,131.41.45.13,M081,Online,58,Engineer,80,1,6451.96,04/11/2024 08:08,0,5.847565307911304,17,0,0,5,357.5,-12.110000000000014,Las Vegas,1
TX000083,AC00236,922.55,2023-01-23 16:32:00,Debit,Detroit,D000206,21.97.154.92,M004,ATM,63,Retired,87,1,4715.84,04/11/2024 08:11,1,6.828224940025329,16,0,0,6,345.3999999999999,577.1500000000001,Boston,1
TX000084,AC00220,259.91,2023-11-06 16:34:00,Debit,Denver,D000616,36.13.239.172,M028,Online,49,Doctor,170,1,7176.86,04/11/2024 08:09,0,5.564175520269783,16,0,0,5,238.208,21.702000000000027,Denver,0
TX000085,AC00140,154.71,2023-07-03 16:40:00,Debit,San Diego,D000494,167.104.180.235,M030,Online,34,Doctor,157,1,1523.72,04/11/2024 08:09,0,5.047995302853334,16,0,0,7,150.40285714285713,4.307142857142878,Baltimore,1
TX000087,AC00303,24.56,2023-10-20 17:27:00,Debit,Mesa,D000428,16.131.3.140,M033,Branch,64,Doctor,69,1,9869.93,04/11/2024 08:12,0,3.241028629509334,17,4,0,5,295.29200000000003,-270.732,Baltimore,1
TX000088,AC00373,568.07,2023-08-28 17:03:00,Debit,Washington,D000018,8.243.4.138,M054,ATM,48,Doctor,115,1,10556.81,04/11/2024 08:07,0,6.344003449406741,17,0,0,9,222.35444444444445,345.7155555555556,Charlotte,1
TX000089,AC00438,9.61,2023-06-22 18:37:00,Credit,San Diego,D000453,132.127.5.187,M043,Online,58,Doctor,179,1,12883.91,04/11/2024 08:09,0,2.361796952625892,18,3,0,7,172.0957142857143,-162.48571428571432,Indianapolis,1
TX000090,AC00437,392.96,2023-11-20 16:28:00,Debit,Kansas City,D000141,186.54.68.246,M022,Online,24,Student,100,1,791.65,04/11/2024 08:08,0,5.976249381301502,16,0,0,4,230.5425,162.4175,Kansas City,0
TX000091,AC00106,716.93,2023-09-14 16:49:00,Credit,Milwaukee,D000322,101.223.82.253,M052,Online,60,Retired,34,1,4064.02,04/11/2024 08:08,0,6.576372071259257,16,3,0,6,344.03,372.9,Chicago,1
TX000093,AC00149,230.66,2023-03-27 18:16:00,Debit,Houston,D000526,60.43.160.195,M049,Branch,21,Student,135,1,618.05,04/11/2024 08:10,0,5.4452707795042,18,0,0,5,376.418,-145.758,Albuquerque,1
TX000094,AC00373,442.12,2023-12-21 16:37:00,Debit,Los Angeles,D000645,168.36.49.167,M047,Online,19,Student,260,1,1375.8,04/11/2024 08:08,0,6.093840613724849,16,3,0,9,222.35444444444445,219.76555555555555,Charlotte,1
TX000095,AC00425,644.17,2023-03-02 16:05:00,Debit,San Antonio,D000178,165.38.56.205,M093,ATM,29,Engineer,72,1,1143.52,04/11/2024 08:08,0,6.469513847959858,16,3,0,7,355.30571428571426,288.8642857142857,Denver,1
TX000096,AC00010,508.68,2023-06-26 16:16:00,Credit,Mesa,D000622,193.108.17.115,M048,Branch,51,Engineer,127,1,7708.41,04/11/2024 08:09,0,6.233783077808233,16,0,0,7,395.5242857142857,113.15571428571428,Atlanta,1
TX000097,AC00348,858.63,2023-04-18 17:27:00,Credit,San Francisco,D000019,175.230.206.232,M002,Branch,27,Student,185,1,1872.96,04/11/2024 08:10,1,6.756502064112833,17,1,0,4,361.24,497.39,Las Vegas,1
TX000098,AC00011,25.36,2023-07-17 17:08:00,Debit,Louisville,D000192,62.152.134.92,M007,ATM,57,Engineer,78,1,201.04,04/11/2024 08:11,0,3.2718477096343066,17,0,0,6,284.1616666666667,-258.8016666666667,Kansas City,1
TX000099,AC00453,147.62,2023-09-01 17:26:00,Debit,Charlotte,D000093,149.84.108.18,M028,Branch,71,Retired,133,1,2115.8,04/11/2024 08:07,0,5.001392712729324,17,4,0,8,253.10750000000002,-105.48750000000001,Boston,1
TX000100,AC00178,115.02,2023-09-11 16:19:00,Debit,San Antonio,D000528,134.222.122.238,M004,Branch,37,Doctor,175,1,7643.66,04/11/2024 08:08,0,4.753762590037918,16,0,0,4,203.0525,-88.03250000000001,Seattle,1
TX000101,AC00265,383.37,2023-01-24 17:23:00,Debit,Fort Worth,D000321,18.72.115.111,M066,Branch,30,Engineer,24,1,8901.93,04/11/2024 08:11,0,5.951605630346094,17,1,0,8,342.63625,40.733749999999986,Austin,1
TX000102,AC00018,98.54,2023-08-11 16:18:00,Credit,El Paso,D000528,34.125.226.63,M095,Online,20,Student,167,1,9383.43,04/11/2024 08:10,0,4.6005595734304086,16,4,0,1,98.54,0.0,El Paso,0
TX000103,AC00075,83.24,2023-10-16 18:35:00,Credit,Fort Worth,D000607,21.28.32.1,M009,Branch,55,Doctor,164,1,1181.31,04/11/2024 08:10,0,4.43366986782572,18,0,0,5,218.37400000000002,-135.13400000000001,Dallas,1
TX000104,AC00464,196.16,2023-02-24 16:29:00,Debit,Virginia Beach,D000164,204.34.243.93,M099,Branch,27,Engineer,146,1,9418.86,04/11/2024 08:08,0,5.284015581837177,16,4,0,7,181.55285714285714,14.607142857142861,San Jose,1
TX000105,AC00170,129.94,2023-01-02 16:36:00,Debit,Las Vegas,D000647,111.226.226.202,M045,ATM,32,Engineer,235,1,7954.92,04/11/2024 08:06,0,4.874739203012945,16,0,0,6,89.84666666666668,40.09333333333332,San Francisco,1
TX000106,AC00235,306.9,2023-11-30 16:31:00,Debit,Colorado Springs,D000078,96.115.67.230,M047,Online,46,Engineer,51,1,9418.08,04/11/2024 08:10,0,5.729775054930455,16,3,0,7,193.32857142857145,113.57142857142853,Austin,1
TX000107,AC00013,114.98,2023-11-01 16:52:00,Debit,Seattle,D000182,115.218.48.83,M032,Online,59,Retired,80,1,6144.68,04/11/2024 08:09,0,4.7534177624482945,16,2,0,8,203.91,-88.92999999999999,Seattle,0
TX000108,AC00397,756.59,2023-03-06 16:47:00,Debit,Sacramento,D000028,174.61.77.54,M012,Branch,27,Student,17,1,420.65,04/11/2024 08:11,0,6.63014234220714,16,0,0,7,264.8457142857143,491.74428571428575,Austin,1
TX000109,AC00423,503.76,2023-11-27 18:32:00,Debit,Los Angeles,D000518,216.151.64.40,M083,Online,22,Student,35,1,447.82,04/11/2024 08:09,0,6.22408306878471,18,0,0,5,223.80599999999998,279.954,Charlotte,1
TX000110,AC00154,143.03,2023-07-31 16:37:00,Debit,San Antonio,D000469,197.162.55.147,M055,ATM,63,Retired,147,1,7981.45,04/11/2024 08:10,0,4.970021611210958,16,0,0,5,173.886,-30.855999999999995,Boston,1
TX000111,AC00068,1045.22,2023-11-22 16:13:00,Debit,Columbus,D000400,77.7.223.184,M077,ATM,53,Retired,73,1,1829.9,04/11/2024 08:07,1,6.952938947557457,16,2,0,4,660.4975,384.7225000000001,Columbus,0
TX000112,AC00318,245.54,2023-03-21 16:29:00,Debit,New York,D000536,44.197.126.59,M089,ATM,25,Student,180,1,985.06,04/11/2024 08:10,0,5.507524252123373,16,1,0,4,377.3725,-131.8325,Charlotte,1
TX000113,AC00396,254.37,2023-04-20 18:26:00,Credit,Dallas,D000477,143.212.47.226,M012,Online,51,Engineer,174,1,8849.26,04/11/2024 08:06,0,5.542713473895698,18,3,0,7,266.3071428571429,-11.937142857142874,Dallas,0
TX000114,AC00121,213.76,2023-03-01 17:52:00,Credit,Dallas,D000574,51.250.122.123,M009,ATM,78,Retired,282,1,3528.72,04/11/2024 08:09,0,5.3695211255543684,17,2,0,2,147.365,66.39499999999998,Dallas,0
TX000115,AC00336,327.86,2023-02-10 16:52:00,Debit,Fresno,D000655,188.124.181.12,M051,Online,40,Engineer,104,1,480.16,04/11/2024 08:06,0,5.79563212828608,16,4,0,3,555.46,-227.60000000000002,Chicago,1
TX000116,AC00468,2.5,2023-07-21 16:43:00,Debit,San Diego,D000673,44.73.3.217,M042,Online,47,Doctor,107,1,12145.27,04/11/2024 08:09,0,1.252762968495368,16,4,0,3,63.99000000000001,-61.49000000000001,Colorado Springs,1
TX000117,AC00282,300.08,2023-10-09 17:02:00,Credit,Austin,D000266,85.240.254.83,M040,Online,68,Doctor,47,1,13546.75,04/11/2024 08:12,0,5.707376010166331,17,0,0,5,301.034,-0.9540000000000077,Austin,0
